0.000000000000000000e+00,5.393553466796875000e+02,6.286241455078125000e+02,1.456994915008544922e+01,1.592755889892578125e+01,8.590894317626953125e+01
1.000000000000000000e+00,4.492297058105468750e+02,6.285639648437500000e+02,1.449801445007324219e+01,1.559349346160888672e+01,1.077211456298828125e+02
2.000000000000000000e+00,6.292706298828125000e+02,6.280000000000000000e+02,1.511282634735107422e+01,1.595513057708740234e+01,9.000000000000000000e+01
3.000000000000000000e+00,3.602216796875000000e+02,6.282338867187500000e+02,1.416849613189697266e+01,1.628131866455078125e+01,9.245443725585937500e+01
4.000000000000000000e+00,7.180662841796875000e+02,6.266196899414062500e+02,1.445226097106933594e+01,1.602092933654785156e+01,7.644825744628906250e+01
5.000000000000000000e+00,2.719259948730468750e+02,6.264744873046875000e+02,1.469682979583740234e+01,1.546262645721435547e+01,1.275030975341796875e+02
6.000000000000000000e+00,8.055794677734375000e+02,6.249783325195312500e+02,1.492990398406982422e+01,1.507004070281982422e+01,6.902204895019531250e+01
7.000000000000000000e+00,6.314121093750000000e+02,5.418341674804687500e+02,1.483514881134033203e+01,1.657945060729980469e+01,7.644415283203125000e+01
8.000000000000000000e+00,5.395000000000000000e+02,5.421604003906250000e+02,1.556394195556640625e+01,1.687263679504394531e+01,9.000000000000000000e+01
9.000000000000000000e+00,4.474533081054687500e+02,5.419129638671875000e+02,1.504580783843994141e+01,1.664411544799804688e+01,9.540309906005859375e+01
1.000000000000000000e+01,7.213491210937500000e+02,5.402779541015625000e+02,1.414969825744628906e+01,1.538548088073730469e+01,1.911012458801269531e+01
1.100000000000000000e+01,3.570351257324218750e+02,5.408607177734375000e+02,1.454512596130371094e+01,1.532292652130126953e+01,1.557257080078125000e+02
1.200000000000000000e+01,2.698174438476562500e+02,5.384197387695312500e+02,1.447557353973388672e+01,1.651465988159179688e+01,1.523423919677734375e+02
1.300000000000000000e+01,8.078385620117187500e+02,5.376525878906250000e+02,1.452497100830078125e+01,1.585427951812744141e+01,5.565615081787109375e+01
1.400000000000000000e+01,6.342563476562500000e+02,4.521399536132812500e+02,1.563144016265869141e+01,1.651003074645996094e+01,6.382224655151367188e+01
1.500000000000000000e+01,5.395102539062500000e+02,4.515534362792968750e+02,1.630831146240234375e+01,1.684264564514160156e+01,1.256417770385742188e+02
1.600000000000000000e+01,7.248774414062500000e+02,4.509501647949218750e+02,1.456689453125000000e+01,1.571036243438720703e+01,1.846803283691406250e+01
